tripnumber,purchasenumber,departmentnumber,timebetween,price
1.0,1.0,14.0,-0.08969051468145388,0.3296941462310058
1.0,2.0,12.0,0.8381547906274316,0.2106733441882088
1.0,3.0,12.0,-0.6040395426244229,0.783852469815363
1.0,4.0,1.0,-0.5838689925090125,-0.4251483088298913
1.0,5.0,1.0,-0.4527604167588438,-0.8980993906315321
1.0,6.0,13.0,-0.3216518410086752,-0.6788505447632218
1.0,7.0,13.0,-0.533442617220486,-0.42828043519943865
1.0,8.0,16.0,0.3944026880883994,0.5896606349034309
1.0,9.0,11.0,0.4448290633769258,0.007085130167634798
1.0,10.0,11.0,-0.5939542675667178,0.3109013880137219
1.0,11.0,11.0,-0.6342953677975388,0.7713239643371739
1.0,12.0,11.0,-0.5636984423936019,0.2419946078836816
1.0,13.0,3.0,-0.2510549156047383,-1.0108559399352346
2.0,1.0,18.0,2.603077925725855,-0.7352288194150731
2.0,2.0,12.0,2.169411098244528,0.16682357501454656
2.0,3.0,12.0,-0.19054326525850665,-0.346845149591209
2.0,4.0,12.0,-0.5233573421627807,1.479184523854861
2.0,5.0,1.0,0.707046214877263,-0.9732704235006672
2.0,6.0,13.0,0.4044879631461047,-0.6851147975023164
2.0,7.0,8.0,-0.19054326525850665,-0.2779383694611687
2.0,8.0,17.0,0.21286773704970444,0.7462669533807955
2.0,9.0,17.0,-0.5636984423936019,1.7454152652663812
2.0,10.0,17.0,-0.6948070181437704,2.4188224347190483
2.0,11.0,17.0,-0.6242100927398335,1.1565755077914905
2.0,12.0,17.0,-0.2913960158355594,-0.7164360611977892
2.0,13.0,17.0,-0.7048922932014757,1.5856768204194696
2.0,14.0,17.0,-0.7250628433168863,0.6491710359248293
2.0,15.0,16.0,0.5759376391270944,0.5332823602515795
2.0,16.0,16.0,-0.4729309668742544,-0.011707628049648963
2.0,17.0,5.0,4.821838438421016,-0.5723582481986139
3.0,1.0,10.0,-0.09977578973915915,1.1221221177264704
3.0,2.0,10.0,-0.09977578973915915,-0.16204969378791892
3.0,3.0,14.0,0.3137204876267572,1.2661999307256457
3.0,4.0,14.0,-0.2510549156047383,2.3812369182844813
3.0,5.0,14.0,-0.4124193165280227,1.8894930782655563
3.0,6.0,12.0,0.8684106158005475,1.3288424581165914
3.0,7.0,12.0,-0.03926413939292749,0.3046371352746275
3.0,8.0,7.0,0.8583253407428422,0.4267900636869717
3.0,9.0,1.0,0.9390075412044844,-0.7477573248932623
3.0,10.0,1.0,0.10192971141494639,-0.8041355995451135
3.0,11.0,1.0,0.031332786011009445,-1.079762720065275
3.0,12.0,1.0,-0.2712254657201489,-0.8887030115228903
3.0,13.0,13.0,0.636449289473326,-1.1079518573912006
3.0,14.0,15.0,0.2834646624536414,-0.014839754419196187
3.0,15.0,15.0,-0.059434689508338044,-0.5786225009377085
3.0,16.0,8.0,-0.2611401906624436,-0.16518182015746613
3.0,17.0,6.0,-0.059434689508338044,-0.7634179567409987
3.0,18.0,6.0,-0.3519076661817911,-0.37190216054758735
3.0,19.0,6.0,0.7675578652234947,-0.8197962313928499
3.0,20.0,6.0,-0.3519076661817911,-1.067234214587086
3.0,21.0,17.0,1.0297750167238318,2.412558181979954
3.0,22.0,17.0,-0.3720782162972016,1.2035574033346998
3.0,23.0,17.0,-0.5838689925090125,0.7212099424244172
3.0,24.0,17.0,-0.5132720671050756,1.7172261279404557
3.0,25.0,17.0,-0.7553186684900022,-0.6068116382636342
3.0,26.0,17.0,-0.3418223911240858,1.3006533207906659
3.0,27.0,16.0,2.068558347667475,-0.47526233074264795
3.0,28.0,16.0,-0.3720782162972016,0.7932488489240047
3.0,29.0,1.0,1.9172792218018961,-1.0108559399352346
4.0,1.0,10.0,0.10192971141494639,-0.9200242752183633
4.0,2.0,14.0,0.6263640144156207,0.7869845961849102
4.0,3.0,12.0,2.25009329870617,-0.37816641328668194
4.0,4.0,12.0,-0.4527604167588438,-0.19650308385293908
4.0,5.0,1.0,-0.493101516989665,-0.7822107149582824
4.0,6.0,7.0,-0.7956597687208232,-0.6350007755895597
4.0,7.0,7.0,-0.7452333934322969,-1.0139880663047818
4.0,8.0,1.0,-0.2107138153739172,-0.5410369845031411
4.0,9.0,1.0,-0.5536131673358966,-0.2215600948093174
4.0,10.0,7.0,-0.7250628433168863,-0.9074957697401741
4.0,11.0,13.0,-0.00900831421981166,-1.0014595608265928
4.0,12.0,13.0,-0.3821634913549069,-0.6757184183936745
4.0,13.0,6.0,0.8784958908582527,-0.713303934828242
4.0,14.0,6.0,-0.4527604167588438,-0.638132901959107
4.0,15.0,17.0,0.20278246199199915,-0.766550083110546
4.0,16.0,4.0,-0.2006285403162119,-0.6068116382636342
4.0,17.0,16.0,0.12210026153035694,-0.7383609457846203
4.0,18.0,16.0,-0.493101516989665,-0.7916070940669243
4.0,19.0,16.0,-0.0796052396237486,-0.7634179567409987
4.0,20.0,16.0,-0.533442617220486,-0.9012315170010795
4.0,21.0,16.0,-0.6544659179129494,-0.9701382971311199
4.0,22.0,9.0,0.06158861118412528,1.9834568693519754
4.0,23.0,9.0,-0.6443806428552441,-0.37190216054758735
4.0,24.0,9.0,-0.3619929412394963,1.3946171118770845
4.0,25.0,9.0,-0.6847217430860653,0.4894325910779176
4.0,26.0,2.0,-0.2913960158355594,-0.8730423796751539
4.0,27.0,2.0,-0.130031614912275,-0.3374487704825672
4.0,28.0,2.0,-0.08969051468145388,0.10731317399314819
4.0,29.0,2.0,-0.3317371160663805,-0.24974923213524297
4.0,30.0,11.0,-0.6645511929706547,-0.616208017372276
4.0,31.0,2.0,-0.04934941445063277,-0.6193401437418233
5.0,1.0,10.0,-0.4426751417011386,-1.0077238135656872
5.0,2.0,10.0,-0.3216518410086752,-0.8542496214578701
5.0,3.0,14.0,1.3827596437435163,0.11984167947133736
5.0,4.0,14.0,-0.6342953677975388,0.7118135633157752
5.0,5.0,14.0,-0.5636984423936019,-0.8010034731755662
5.0,6.0,14.0,-0.8057450437785285,0.6679637941421133
5.0,7.0,12.0,1.806341196167138,-0.660057786545938
5.0,8.0,1.0,-0.5737837174513072,-0.28420262220026316
5.0,9.0,1.0,-0.5435278922781913,-1.1142161101302952
5.0,10.0,1.0,-0.6443806428552441,-0.7258324403064311
5.0,11.0,1.0,-0.6342953677975388,-0.5566976163508774
5.0,12.0,9.0,-0.7048922932014757,-0.20276733659203366
5.0,13.0,2.0,-0.5737837174513072,0.016481509276276746
5.0,14.0,2.0,-0.2510549156047383,-0.21529584207022281
5.0,15.0,2.0,0.05150333612642,-0.5535654899813303
5.0,16.0,2.0,-0.3519076661817911,0.49882897018655953
5.0,17.0,2.0,0.38431741303069417,-0.2528813585047903
5.0,18.0,2.0,0.12210026153035694,0.2075412178186613
5.0,19.0,2.0,-0.2510549156047383,-0.2654098639829795
5.0,20.0,2.0,-0.3014812908932647,0.013349382906729384
5.0,21.0,2.0,-0.019093589277516938,0.25139098699232354
5.0,22.0,11.0,-0.7250628433168863,-0.8824387587837957
6.0,1.0,14.0,-0.1199463398545697,3.0076621921939397
6.0,2.0,14.0,-0.6242100927398335,2.1400631878293397
6.0,3.0,12.0,1.7861706460517275,1.4729202711157667
6.0,4.0,7.0,-0.5233573421627807,0.93732666192318
6.0,5.0,13.0,-0.7452333934322969,-0.8041355995451135
6.0,6.0,4.0,3.2081944291881714,-0.2779383694611687
6.0,7.0,16.0,-0.6847217430860653,-0.6788505447632218
6.0,8.0,16.0,-0.4729309668742544,-0.2434849793961484
6.0,9.0,16.0,-0.3922487664126122,-0.6725862920241272
6.0,10.0,9.0,-0.6242100927398335,-0.346845149591209
6.0,11.0,9.0,-0.6544659179129494,-0.9482134125442888
6.0,12.0,9.0,-0.7654039435477075,-0.5535654899813303
6.0,13.0,2.0,-0.4729309668742544,0.2639194924705127
6.0,14.0,11.0,0.38431741303069417,0.7619275852285319
6.0,15.0,4.0,1.1911394176471164,0.5614714975775054
6.0,16.0,4.0,-0.422504591585728,-0.26227773761343215
6.0,17.0,4.0,-0.3317371160663805,0.15429506953635738
7.0,1.0,14.0,-0.15020216502768555,2.653731912435095
7.0,2.0,14.0,-0.7250628433168863,3.1580042579322094
7.0,3.0,14.0,-0.5132720671050756,2.7038459343478514
7.0,4.0,10.0,-0.6040395426244229,-0.7602858303714515
7.0,5.0,14.0,-0.4628456918165491,4.692746179010381
